site_project_id,n,mean_actual,mean_pred,mean_residual
golcuk::true_life,3,27210.406666666666,28143.97859827439,933.571931607723
derince::ozgurler,1,35000.0,35950.658867250044,950.6588672500438
golcuk::subasi,1,35789.47,36746.83733338745,957.3673333874467
darica::butik,1,49350.0,50337.271715658586,987.2717156585859
basiskele::barbaros_mh,1,42253.52,43261.46058989117,1007.9405898911718
derince::goktas,1,23583.33,24596.734427910043,1013.4044279100417
korfez::nasas_emek,1,25181.82,26203.22906648901,1021.40906648901
korfez::korfez_belediyesi_ilimtepe_kalici_konutlari_1544,1,25000.0,26028.4896813048,1028.4896813048
golcuk::100_yil_bariser,1,45000.0,46033.54775297158,1033.547752971579
basiskele::ustpark_yuvacik,2,42667.46,43733.4916988653,1066.0316988652994
izmit::akcakent_1,1,42000.0,43070.663730069566,1070.6637300695656
golcuk::golcuk_degirmendere_metropolitangreyeffect,1,39052.63,40130.87981955314,1078.2498195531443
gebze::mollaoglu_toplu,1,35357.14,36470.44292737379,1113.302927373792
kartepe::atakoy,1,31120.0,32277.73649379766,1157.73649379766
kartepe::derin_den_ert_gazi_mah,1,37181.82,38348.24239265504,1166.4223926550403
izmit::yuvam_turgut_toplu,3,33464.74333333333,34655.49091775671,1190.7475844233766
korfez::besballi,1,34848.48,36058.94466448177,1210.4646644817694
kartepe::ekomaxdan_sinirsiz_kredi_asansoru,1,31875.0,33099.244657447496,1224.2446574474961
cayirova::cayirova_da_dubleks,1,37727.27,38976.08803543202,1248.8180354320211
cayirova::gold_city,1,33333.33,34606.07809380791,1272.7480938079098
golcuk::bahce_dubleks,1,30740.74,32032.275654313074,1291.5356543130729
basiskele::yuvacik_kalici_konutlari_2_ada,1,32727.27,34042.38623967524,1315.116239675237
korfez::mefa_emlaktan_korfez_kent,1,36153.85,37495.524463871945,1341.6744638719465
korfez::vizyon_park,1,42352.94,43705.10793570459,1352.1679357045869
basiskele::emar_delux_yuvacik,3,36250.0,37767.933468581396,1517.9334685813956
izmit::kavan_life_gundogdu,1,39388.89,40916.59055428376,1527.7005542837578
basiskele::boyunegmez_yasam,1,35384.62,36997.65584734082,1613.0358473408196
cayirova::inonu_mahallesi_hayme_ana_park,1,48947.37,50598.25522159539,1650.8852215953884
derince::canan,1,34375.0,36044.18015012863,1669.1801501286318
kartepe::guldeste_sitesi_2,1,30588.24,32264.907659780343,1676.6676597803416
izmit::solin,1,36923.08,38600.57293252078,1677.4929325207777
korfez::korfez_belediyesi_ilimtepe_belediye,1,29200.0,30880.235012384823,1680.2350123848228
izmit::pirelli,1,35384.62,37103.38349691378,1718.7634969137798
kartepe::beykoz_evleri_1,3,36365.93,38113.7741776871,1747.8441776870943
darica::battalgazi_caddesinde,1,39520.0,41269.069521608246,1749.0695216082459
basiskele::doga,2,35457.425,37293.48532099912,1836.0603209991204
gebze::toki_gebze_site_yonetimi,1,54210.53,56057.31825692987,1846.7882569298745
derince::baskent,1,21968.5,23845.11490144684,1876.6149014468392
kartepe::saglik_kent,3,46003.4,47885.83745038527,1882.4374503852644
golcuk::degirmendere_ervatan,1,24964.29,26854.958890862526,1890.6688908625256
izmit::dunya_bankasi_konutlari_27_ada,1,35111.11,37016.35558669115,1905.2455866911478
korfez::emlak_korfez_kent_sitesi_1,2,46882.385,48812.829981834635,1930.444981834633
basiskele::aydinkent,1,27727.27,29715.554963067145,1988.2849630671444
izmit::izmitkent_konutlari_3,4,37470.5875,39460.78308861537,1990.1955886153646
darica::green_life,2,61732.025,63734.645421122914,2002.6204211229087
kartepe::kartepe_cadde_life,2,38029.56,40036.69103503486,2007.1310350348613
basiskele::bahcekent_konutlari,4,31680.34,33703.00838626207,2022.6683862620612
cayirova::toki_20007,1,49941.18,51989.41287765217,2048.232877652168
kartepe::butik,2,35987.744999999995,38068.571172674405,2080.826172674406
izmit::zeray_dora_hill,1,50735.29,52884.06355065792,2148.7735506579193
gebze::seher_yeli,1,44074.07,46223.1857397916,2149.115739791603
darica::ozden_evler,1,50000.0,52225.4728623413,2225.472862341303
korfez::umut_apartmani,1,24821.43,27085.09287333176,2263.6628733317593
derince::azka,1,30800.0,33066.00568381144,2266.0056838114397
derince::lassa_guler,1,21379.31,23670.60613878598,2291.2961387859796
basiskele::royal_city_akkurt,2,34981.58,37337.324512364445,2355.744512364443
korfez::baris_kent,2,25545.455,27951.182075196135,2405.7270751961332
darica::yurttas,1,39600.0,42053.98466318776,2453.984663187759
kartepe::dorukpark,3,35632.35333333333,38112.7703436806,2480.4170103472593
korfez::mefa_emaktan_korfez_kent,1,35652.17,38197.85615729746,2545.6861572974594
kartepe::krediye_eminevime_uygun_butik,1,41990.0,44552.74297571698,2562.742975716981
derince::yelkent_zirve,2,44689.57,47269.44888087835,2579.8788808783465
korfez::hilal,1,23181.82,25869.307081762494,2687.487081762494
