county,model,feature,importance
Başiskele,extra_trees,cat__geo_cluster_x_room_count_missing||2+1,0.0007735652904978181
Başiskele,extra_trees,num__basiskele_premium_bucket_high,0.0007643919785387969
Başiskele,extra_trees,num__demo_single_ratio,0.0007605162864872244
Başiskele,extra_trees,cat__detail_manzara_Deniz|Doğa|Park & Yeşil Alan|Şehir,0.0007580010098248961
Başiskele,extra_trees,num__demo_age_65_plus,0.0007552847071430001
Başiskele,extra_trees,cat__basiskele_geo_cluster_Başiskele_0,0.0007518264296661005
Başiskele,extra_trees,num__large_home_site_x_m2,0.0007493085800651566
Başiskele,extra_trees,num__demo_pharmacy_count,0.000731759436116466
Başiskele,extra_trees,num__is_top_floor,0.0007216572183012483
Başiskele,extra_trees,cat__detail_konut_tipi_Bahçe Dubleksi,0.000718109594970321
Başiskele,extra_trees,cat__detail_cephe_Güney|Kuzey,0.000717914000808943
Başiskele,extra_trees,num__demo_old_ratio_diff_county,0.0007110753451381095
Başiskele,extra_trees,num__coast_distance_bucket_code,0.0007109183922481946
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_7||3+1,0.0007106347401151713
Başiskele,extra_trees,num__demo_male_ratio,0.0007106250689827469
Başiskele,extra_trees,num__demo_household_size,0.0007101270991063306
Başiskele,extra_trees,num__trend_sale_m2,0.0006978805609051228
Başiskele,extra_trees,cat__geo_cluster_city_city_9,0.0006971122403549956
Başiskele,extra_trees,num__demo_age_25_34,0.0006903892267428265
Başiskele,extra_trees,cat__demo_dominant_age_group_30-34,0.0006873012715584384
Başiskele,extra_trees,num__is_coastal_1000m,0.0006827515317106784
Başiskele,extra_trees,num__district_target_median,0.0006798688008996887
Başiskele,extra_trees,num__bsk_distance_to_sea_x_quality,0.0006792330180797734
Başiskele,extra_trees,cat__geo_cluster_city_city_7,0.0006741379155246267
Başiskele,extra_trees,num__demo_workplace_density,0.0006695009398478801
Başiskele,extra_trees,num__demo_widow_ratio,0.0006544794033906315
Başiskele,extra_trees,num__district_rent_m2_cv,0.0006522750265665258
Başiskele,extra_trees,num__attr_is_furnished,0.0006510140713558459
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_4||126-150,0.0006490009645682371
Başiskele,extra_trees,cat__room_count_4+1,0.0006462625826824722
Başiskele,extra_trees,num__demo_education_doctorate_count,0.0006439707666082392
Başiskele,extra_trees,num__attr_has_natural_gas_heating,0.0006410846821083515
Başiskele,extra_trees,num__basiskele_distance_to_coast_x_quality,0.0006371995511907157
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_0||2+1,0.0006238932621101775
Başiskele,extra_trees,num__trend_sale_annual_change,0.0006205831205986958
Başiskele,extra_trees,cat__floor_segment_En Üst Kat,0.0006183768755272281
Başiskele,extra_trees,num__demo_ses_a_plus_ratio,0.0006151023631561829
Başiskele,extra_trees,num__demo_divorced_ratio,0.0006150544003867697
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_5||3+1,0.0006024875651254758
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||76-100,0.0005992342472605801
Başiskele,extra_trees,cat__parking_Yok,0.0005958241900641668
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_other||76-100,0.0005939371306877012
Başiskele,extra_trees,cat__demo_dominant_age_group_5-9,0.0005926110201566382
Başiskele,extra_trees,cat__district_Barbaros Mah.,0.0005896071485332377
Başiskele,extra_trees,num__attr_effect_parking,0.0005892610193464384
Başiskele,extra_trees,num__attr_is_top_floor,0.0005874794672638371
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||200+,0.0005845010433088247
Başiskele,extra_trees,num__demo_ses_d_ratio,0.0005792701839531788
Başiskele,extra_trees,num__demo_age_45_54,0.0005767554219728775
Başiskele,extra_trees,num__trend_price_change_sale,0.000566673134626743
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||126-150,0.0005664963208778087
Başiskele,extra_trees,num__demo_high_school_diff_county,0.00056014652763609
Başiskele,extra_trees,cat__geo_cluster_city_city_8,0.0005559297730914628
Başiskele,extra_trees,num__demo_age_55_64,0.0005555371900352685
Başiskele,extra_trees,cat__building_age_group_3,0.0005503504078878615
Başiskele,extra_trees,num__demo_age_15_24,0.0005339927922146436
Başiskele,extra_trees,cat__detail_cephe_Batı|Kuzey,0.0005322874203994594
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||76-100,0.0005303059548538821
Başiskele,extra_trees,num__demo_education_primary_school_ratio,0.000523257443223294
Başiskele,extra_trees,cat__geo_cluster_x_room_count_missing||4+1,0.000523111142337786
Başiskele,extra_trees,cat__detail_manzara_Park & Yeşil Alan|Şehir,0.0005213384046871201
Başiskele,extra_trees,cat__district_Paşadağ Mh.,0.0005195087342358274
Başiskele,extra_trees,cat__district_Yeşilyurt Mh.,0.0005187049366010799
Başiskele,extra_trees,cat__geo_cluster_city_city_11,0.000517982492482061
Başiskele,extra_trees,num__demo_education_unknown_ratio,0.0005159097605937101
Başiskele,extra_trees,num__district_rent_m2_mean,0.000515118743250871
Başiskele,extra_trees,cat__district_Döngel Mh.,0.0004996712844590579
Başiskele,extra_trees,num__detail_subtype_count,0.00048445045057031086
Başiskele,extra_trees,num__district_rent_m2_median,0.00047004699567100366
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_other||151-200,0.00046914870592372596
Başiskele,extra_trees,cat__rent_feature_level_district_room,0.00046891158909453967
Başiskele,extra_trees,cat__detail_konut_tipi_Dubleks|Bahçe Dubleksi,0.0004630416945227971
Başiskele,extra_trees,num__demo_old_ratio,0.0004607367870049009
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_11||3+1,0.00045943726535458074
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_8||3+1,0.0004544759094446156
Başiskele,extra_trees,cat__geo_cluster_county_Başiskele_1,0.0004530192664092212
Başiskele,extra_trees,num__demo_ses_cd_ratio,0.00045126820156202055
Başiskele,extra_trees,num__demo_education_graduate_ratio,0.0004465797744409633
Başiskele,extra_trees,cat__basiskele_geo_cluster_Başiskele_1,0.00043479252741377106
Başiskele,extra_trees,cat__balcony_Var,0.0004222695571368372
Başiskele,extra_trees,num__demo_education_graduate_count,0.0004190298297411426
Başiskele,extra_trees,num__distance_to_coast_x_near_sea_zero,0.00041740661519224697
Başiskele,extra_trees,num__demo_workplace_count,0.0004096809821455569
Başiskele,extra_trees,cat__demo_dominant_education_Lise,0.00040577215131015315
Başiskele,extra_trees,num__demo_ses_c_ratio,0.0004050798452880117
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||101-125,0.0004028715675732778
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_other||126-150,0.0004022659768725398
Başiskele,extra_trees,num__demo_per_capita_income_try,0.00039228373051186795
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_9||3+1,0.00039106797102430755
Başiskele,extra_trees,num__demo_widow_count,0.0003893913770369044
Başiskele,extra_trees,num__demo_age_35_44,0.00038610518923814575
Başiskele,extra_trees,cat__detail_cephe_Batı|Güney|Kuzey,0.0003812730600233776
